# ATOM = 2 (spec = C )
# NDIV =     2000 dE=      0.01500750
#    energy (ev)        dos_total           orb-1            orb-2            orb-3            orb-4
    -17.79389695       0.15917921      0.13663795       0.01127136       0.01126990       0.00000000
    -17.77888944       0.15925328      0.13650177       0.01137650       0.01137502       0.00000000
    -17.76388194       0.15932577      0.13636444       0.01148142       0.01147991       0.00000000
    -17.74887444       0.15939683      0.13622611       0.01158614       0.01158458       0.00000000
    -17.73386693       0.15946676      0.13608701       0.01169070       0.01168905       0.00000000
    -17.71885943       0.15953574      0.13594732       0.01179509       0.01179333       0.00000000
    -17.70385193       0.15960371      0.13580701       0.01189929       0.01189740       0.00000000
    -17.68884442       0.15967037      0.13566585       0.01200328       0.01200125       0.00000000
    -17.67383692       0.15973539      0.13552354       0.01210701       0.01210484       0.00000000
    -17.65882941       0.15979865      0.13538001       0.01221046       0.01220819       0.00000000
    -17.64382191       0.15986039      0.13523543       0.01231365       0.01231131       0.00000000
    -17.62881441       0.15992107      0.13509021       0.01241661       0.01241425       0.00000000
    -17.61380690       0.15998104      0.13494467       0.01251935       0.01251703       0.00000000
    -17.59879940       0.16004030      0.13479882       0.01262185       0.01261963       0.00000000
    -17.58379190       0.16009842      0.13465232       0.01272409       0.01272202       0.00000000
    -17.56878439       0.16015487      0.13450473       0.01282600       0.01282413       0.00000000
    -17.55377689       0.16020939      0.13435585       0.01292759       0.01292595       0.00000000
    -17.53876938       0.16026230      0.13420594       0.01302887       0.01302748       0.00000000
    -17.52376188       0.16031432      0.13405561       0.01312992       0.01312879       0.00000000
    -17.50875438       0.16036615      0.13390547       0.01323078       0.01322990       0.00000000
    -17.49374687       0.16041795      0.13375568       0.01333146       0.01333081       0.00000000
    -17.47873937       0.16046917      0.13360581       0.01343192       0.01343144       0.00000000
    -17.46373187       0.16051887      0.13345510       0.01353206       0.01353171       0.00000000
    -17.44872436       0.16056636      0.13330295       0.01363186       0.01363155       0.00000000
    -17.43371686       0.16061171      0.13314938       0.01373132       0.01373100       0.00000000
    -17.41870935       0.16065583      0.13299512       0.01383056       0.01383015       0.00000000
    -17.40370185       0.16069988      0.13284113       0.01392966       0.01392909       0.00000000
    -17.38869435       0.16074457      0.13268798       0.01402869       0.01402790       0.00000000
    -17.37368684       0.16078953      0.13253541       0.01412758       0.01412655       0.00000000
    -17.35867934       0.16083350      0.13238239       0.01422620       0.01422491       0.00000000
    -17.34367184       0.16087507      0.13222777       0.01432442       0.01432288       0.00000000
    -17.32866433       0.16091364      0.13207102       0.01442219       0.01442043       0.00000000
    -17.31365683       0.16094993      0.13191271       0.01451957       0.01451765       0.00000000
    -17.29864932       0.16098567      0.13175424       0.01461672       0.01461471       0.00000000
    -17.28364182       0.16102256      0.13159704       0.01471378       0.01471174       0.00000000
    -17.26863432       0.16106118      0.13144164       0.01481077       0.01480877       0.00000000
    -17.25362681       0.16110053      0.13128729       0.01490758       0.01490567       0.00000000
    -17.23861931       0.16113848      0.13113229       0.01500399       0.01500220       0.00000000
    -17.22361181       0.16117310      0.13097507       0.01509984       0.01509818       0.00000000
    -17.20860430       0.16120389      0.13081519       0.01519512       0.01519358       0.00000000
    -17.19359680       0.16123228      0.13065374       0.01528999       0.01528855       0.00000000
    -17.17858929       0.16126089      0.13049282       0.01538472       0.01538336       0.00000000
    -17.16358179       0.16129201      0.13033430       0.01547952       0.01547819       0.00000000
    -17.14857429       0.16132610      0.13017864       0.01557439       0.01557307       0.00000000
    -17.13356678       0.16136138      0.13002446       0.01566913       0.01566779       0.00000000
    -17.11855928       0.16139465      0.12986921       0.01576340       0.01576203       0.00000000
    -17.10355178       0.16142317      0.12971067       0.01585697       0.01585554       0.00000000
    -17.08854427       0.16144635      0.12954828       0.01594979       0.01594828       0.00000000
    -17.07353677       0.16146633      0.12938367       0.01604212       0.01604053       0.00000000
    -17.05852926       0.16148691      0.12921987       0.01613437       0.01613268       0.00000000
    -17.04352176       0.16151147      0.12905960       0.01622684       0.01622504       0.00000000
    -17.02851426       0.16154094      0.12890368       0.01631958       0.01631768       0.00000000
    -17.01350675       0.16157302      0.12875041       0.01641230       0.01641031       0.00000000
    -16.99849925       0.16160335      0.12859635       0.01650452       0.01650247       0.00000000
    -16.98349175       0.16162785      0.12843825       0.01659585       0.01659375       0.00000000
    -16.96848424       0.16164516      0.12827492       0.01668617       0.01668407       0.00000000
    -16.95347674       0.16165766      0.12810814       0.01677579       0.01677373       0.00000000
    -16.93846923       0.16167043      0.12794185       0.01686529       0.01686329       0.00000000
    -16.92346173       0.16168861      0.12778011       0.01695520       0.01695330       0.00000000
    -16.90845423       0.16171449      0.12762482       0.01704572       0.01704395       0.00000000
    -16.89344672       0.16174604      0.12747451       0.01713658       0.01713495       0.00000000
    -16.87843922       0.16177775      0.12732494       0.01722715       0.01722566       0.00000000
    -16.86343172       0.16180341      0.12717124       0.01731675       0.01731542       0.00000000
    -16.84842421       0.16181949      0.12701056       0.01740504       0.01740390       0.00000000
    -16.83341671       0.16182732      0.12684379       0.01749224       0.01749129       0.00000000
    -16.81840920       0.16183261      0.12667532       0.01757901       0.01757829       0.00000000
    -16.80340170       0.16184276      0.12651089       0.01766616       0.01766571       0.00000000
    -16.78839420       0.16186288      0.12635459       0.01775422       0.01775406       0.00000000
    -16.77338669       0.16189294      0.12620657       0.01784311       0.01784326       0.00000000
