# NDIV =     2000 dE=      0.01500750
#    energy (ev)           dos 
    -15.49774887       0.32699869
    -15.48274137       0.32733506
    -15.46773387       0.32773005
    -15.45272636       0.32807950
    -15.43771886       0.32829339
    -15.42271136       0.32832792
    -15.40770385       0.32820190
    -15.39269635       0.32799173
    -15.37768884       0.32780615
    -15.36268134       0.32774937
    -15.34767384       0.32788497
    -15.33266633       0.32821314
    -15.31765883       0.32866924
    -15.30265133       0.32914450
    -15.28764382       0.32952217
    -15.27263632       0.32971703
    -15.25762881       0.32970492
    -15.24262131       0.32953221
    -15.22761381       0.32930168
    -15.21260630       0.32913933
    -15.19759880       0.32915287
    -15.18259130       0.32939562
    -15.16758379       0.32984786
    -15.15257629       0.33042191
    -15.13756878       0.33098978
    -15.12256128       0.33142435
    -15.10755378       0.33164102
    -15.09254627       0.33162624
    -15.07753877       0.33144323
    -15.06253127       0.33121308
    -15.04752376       0.33107671
    -15.03251626       0.33114995
    -15.01750875       0.33148604
    -15.00250125       0.33205758
    -14.98749375       0.33276401
    -14.97248624       0.33346241
    -14.95747874       0.33401215
    -14.94247124       0.33431943
    -14.92746373       0.33436764
    -14.91245623       0.33422401
    -14.89744872       0.33402010
    -14.88244122       0.33391194
    -14.86743372       0.33403200
    -14.85242621       0.33444784
    -14.83741871       0.33514034
    -14.82241121       0.33600837
    -14.80740370       0.33689888
    -14.79239620       0.33765331
    -14.77738869       0.33815618
    -14.76238119       0.33837124
    -14.74737369       0.33835377
    -14.73236618       0.33823541
    -14.71735868       0.33818571
    -14.70235118       0.33836182
    -14.68734367       0.33886135
    -14.67233617       0.33969260
    -14.65732866       0.34077114
    -14.64232116       0.34194409
    -14.62731366       0.34303519
    -14.61230615       0.34389733
    -14.59729865       0.34445707
    -14.58229115       0.34473793
    -14.56728364       0.34485526
    -14.55227614       0.34498413
    -14.53726863       0.34530940
    -14.52226113       0.34597255
    -14.50725363       0.34703071
    -14.49224612       0.34843995
    -14.47723862       0.35006796
    -14.46223112       0.35173254
    -14.44722361       0.35325515
    -14.43221611       0.35451415
    -14.41720860       0.35548237
    -14.40220110       0.35623823
    -14.38719360       0.35694694
    -14.37218609       0.35781716
    -14.35717859       0.35904525
    -14.34217109       0.36076347
    -14.32716358       0.36300666
    -14.31215608       0.36570766
    -14.29714857       0.36872296
    -14.28214107       0.37188185
    -14.26713357       0.37504556
    -14.25212606       0.37815951
    -14.23711856       0.38128374
    -14.22211106       0.38459145
    -14.20710355       0.38833456
    -14.19209605       0.39278307
    -14.17708854       0.39815207
    -14.16208104       0.40453358
    -14.14707354       0.41184888
    -14.13206603       0.41983279
    -14.11705853       0.42805329
    -14.10205103       0.43596264
    -14.08704352       0.44296886
    -14.07203602       0.44851311
    -14.05702851       0.45213753
    -14.04202101       0.45353184
    -14.02701351       0.45255164
    -14.01200600       0.44920897
    -13.99699850       0.44364117
    -13.98199100       0.43606893
    -13.96698349       0.42675550
    -13.95197599       0.41597719
    -13.93696848       0.40401053
    -13.92196098       0.39113532
    -13.90695348       0.37764719
    -13.89194597       0.36386954
    -13.87693847       0.35015490
    -13.86193097       0.33686900
    -13.84692346       0.32435708
    -13.83191596       0.31289878
    -13.81690845       0.30266311
    -13.80190095       0.29367723
    -13.78689345       0.28582011
    -13.77188594       0.27884667
    -13.75687844       0.27243932
    -13.74187094       0.26627638
    -13.72686343       0.26010126
    -13.71185593       0.25377567
    -13.69684842       0.24730323
    -13.68184092       0.24081751
    -13.66683342       0.23453720
    -13.65182591       0.22869965
    -13.63681841       0.22348949
    -13.62181091       0.21898061
    -13.60680340       0.21510714
    -13.59179590       0.21167208
    -13.57678839       0.20839293
    -13.56178089       0.20497385
    -13.54677339       0.20118573
    -13.53176588       0.19693189
    -13.51675838       0.19227924
    -13.50175088       0.18744342
    -13.48674337       0.18272915
    -13.47173587       0.17844107
    -13.45672836       0.17479078
    -13.44172086       0.17182881
    -13.42671336       0.16942381
    -13.41170585       0.16729768
    -13.39669835       0.16510719
    -13.38169085       0.16254751
    -13.36668334       0.15944530
