# ATOM = 1 (spec = C )
# NDIV =     2000 dE=      0.01500750
#    energy (ev)        dos_total           orb-1            orb-2            orb-3            orb-4
    -17.70385193       0.15959204      0.13579886       0.01189659       0.01189659       0.00000000
    -17.68884442       0.15965825      0.13565756       0.01200035       0.01200035       0.00000000
    -17.67383692       0.15972320      0.13551544       0.01210388       0.01210388       0.00000000
    -17.65882941       0.15978689      0.13537251       0.01220719       0.01220719       0.00000000
    -17.64382191       0.15984935      0.13522881       0.01231027       0.01231027       0.00000000
    -17.62881441       0.15991059      0.13508435       0.01241312       0.01241312       0.00000000
    -17.61380690       0.15997063      0.13493915       0.01251574       0.01251574       0.00000000
    -17.59879940       0.16002947      0.13479324       0.01261812       0.01261812       0.00000000
    -17.58379190       0.16008715      0.13464662       0.01272026       0.01272026       0.00000000
    -17.56878439       0.16014366      0.13449933       0.01282216       0.01282216       0.00000000
    -17.55377689       0.16019903      0.13435138       0.01292382       0.01292382       0.00000000
    -17.53876938       0.16025328      0.13420280       0.01302524       0.01302524       0.00000000
    -17.52376188       0.16030643      0.13405360       0.01312641       0.01312641       0.00000000
    -17.50875438       0.16035848      0.13390381       0.01322734       0.01322734       0.00000000
    -17.49374687       0.16040947      0.13375345       0.01332801       0.01332801       0.00000000
    -17.47873937       0.16045938      0.13360253       0.01342843       0.01342843       0.00000000
    -17.46373187       0.16050825      0.13345107       0.01352859       0.01352859       0.00000000
    -17.44872436       0.16055609      0.13329908       0.01362850       0.01362850       0.00000000
    -17.43371686       0.16060292      0.13314661       0.01372816       0.01372816       0.00000000
    -17.41870935       0.16064875      0.13299365       0.01382755       0.01382755       0.00000000
    -17.40370185       0.16069361      0.13284025       0.01392668       0.01392668       0.00000000
    -17.38869435       0.16073752      0.13268641       0.01402556       0.01402556       0.00000000
    -17.37368684       0.16078047      0.13253214       0.01412416       0.01412416       0.00000000
    -17.35867934       0.16082248      0.13237747       0.01422251       0.01422251       0.00000000
    -17.34367184       0.16086357      0.13222241       0.01432058       0.01432058       0.00000000
    -17.32866433       0.16090375      0.13206698       0.01441839       0.01441839       0.00000000
    -17.31365683       0.16094305      0.13191120       0.01451592       0.01451592       0.00000000
    -17.29864932       0.16098149      0.13175510       0.01461319       0.01461319       0.00000000
    -17.28364182       0.16101909      0.13159871       0.01471019       0.01471019       0.00000000
    -17.26863432       0.16105587      0.13144203       0.01480692       0.01480692       0.00000000
    -17.25362681       0.16109181      0.13128507       0.01490337       0.01490337       0.00000000
    -17.23861931       0.16112694      0.13112784       0.01499955       0.01499955       0.00000000
    -17.22361181       0.16116125      0.13097035       0.01509545       0.01509545       0.00000000
    -17.20860430       0.16119478      0.13081263       0.01519107       0.01519107       0.00000000
    -17.19359680       0.16122755      0.13065471       0.01528642       0.01528642       0.00000000
    -17.17858929       0.16125960      0.13049663       0.01538149       0.01538149       0.00000000
    -17.16358179       0.16129095      0.13033839       0.01547628       0.01547628       0.00000000
    -17.14857429       0.16132161      0.13018001       0.01557080       0.01557080       0.00000000
    -17.13356678       0.16135155      0.13002149       0.01566503       0.01566503       0.00000000
    -17.11855928       0.16138078      0.12986282       0.01575898       0.01575898       0.00000000
    -17.10355178       0.16140931      0.12970402       0.01585265       0.01585265       0.00000000
    -17.08854427       0.16143716      0.12954511       0.01594603       0.01594603       0.00000000
    -17.07353677       0.16146439      0.12938613       0.01603913       0.01603913       0.00000000
    -17.05852926       0.16149103      0.12922713       0.01613195       0.01613195       0.00000000
    -17.04352176       0.16151711      0.12906813       0.01622449       0.01622449       0.00000000
    -17.02851426       0.16154263      0.12890913       0.01631675       0.01631675       0.00000000
    -17.01350675       0.16156758      0.12875012       0.01640873       0.01640873       0.00000000
    -16.99849925       0.16159190      0.12859108       0.01650041       0.01650041       0.00000000
    -16.98349175       0.16161562      0.12843201       0.01659180       0.01659180       0.00000000
    -16.96848424       0.16163875      0.12827294       0.01668291       0.01668291       0.00000000
    -16.95347674       0.16166136      0.12811391       0.01677373       0.01677373       0.00000000
    -16.93846923       0.16168352      0.12795499       0.01686426       0.01686426       0.00000000
    -16.92346173       0.16170528      0.12779623       0.01695453       0.01695453       0.00000000
    -16.90845423       0.16172664      0.12763762       0.01704451       0.01704451       0.00000000
    -16.89344672       0.16174756      0.12747914       0.01713421       0.01713421       0.00000000
    -16.87843922       0.16176798      0.12732075       0.01722362       0.01722362       0.00000000
    -16.86343172       0.16178786      0.12716242       0.01731272       0.01731272       0.00000000
    -16.84842421       0.16180721      0.12700416       0.01740153       0.01740153       0.00000000
    -16.83341671       0.16182611      0.12684602       0.01749004       0.01749004       0.00000000
    -16.81840920       0.16184467      0.12668811       0.01757828       0.01757828       0.00000000
    -16.80340170       0.16186299      0.12653049       0.01766625       0.01766625       0.00000000
    -16.78839420       0.16188109      0.12637320       0.01775395       0.01775395       0.00000000
    -16.77338669       0.16189895      0.12621621       0.01784137       0.01784137       0.00000000
    -16.75837919       0.16191645      0.12605946       0.01792850       0.01792850       0.00000000
    -16.74337169       0.16193351      0.12590286       0.01801532       0.01801532       0.00000000
    -16.72836418       0.16195006      0.12574638       0.01810184       0.01810184       0.00000000
    -16.71335668       0.16196617      0.12559006       0.01818805       0.01818805       0.00000000
    -16.69834917       0.16198196      0.12543400       0.01827398       0.01827398       0.00000000
    -16.68334167       0.16199763      0.12527834       0.01835964       0.01835964       0.00000000
    -16.66833417       0.16201327      0.12512318       0.01844505       0.01844505       0.00000000
    -16.65332666       0.16202893      0.12496854       0.01853019       0.01853019       0.00000000
    -16.63831916       0.16204448      0.12481435       0.01861506       0.01861506       0.00000000
    -16.62331166       0.16205975      0.12466048       0.01869964       0.01869964       0.00000000
    -16.60830415       0.16207459      0.12450680       0.01878389       0.01878389       0.00000000
    -16.59329665       0.16208893      0.12435327       0.01886783       0.01886783       0.00000000
    -16.57828914       0.16210287      0.12419996       0.01895145       0.01895145       0.00000000
    -16.56328164       0.16211664      0.12404704       0.01903480       0.01903480       0.00000000
    -16.54827414       0.16213049      0.12389470       0.01911790       0.01911790       0.00000000
    -16.53326663       0.16214461      0.12374309       0.01920076       0.01920076       0.00000000
    -16.51825913       0.16215898      0.12359222       0.01928338       0.01928338       0.00000000
    -16.50325163       0.16217344      0.12344197       0.01936574       0.01936574       0.00000000
    -16.48824412       0.16218771      0.12329212       0.01944779       0.01944779       0.00000000
    -16.47323662       0.16220152      0.12314250       0.01952951       0.01952951       0.00000000
    -16.45822911       0.16221479      0.12299301       0.01961089       0.01961089       0.00000000
    -16.44322161       0.16222764      0.12284374       0.01969195       0.01969195       0.00000000
    -16.42821411       0.16224039      0.12269495       0.01977272       0.01977272       0.00000000
    -16.41320660       0.16225344      0.12254691       0.01985326       0.01985326       0.00000000
    -16.39819910       0.16226705      0.12239985       0.01993360       0.01993360       0.00000000
    -16.38319160       0.16228128      0.12225381       0.02001374       0.02001374       0.00000000
    -16.36818409       0.16229589      0.12210863       0.02009363       0.02009363       0.00000000
    -16.35317659       0.16231046      0.12196400       0.02017323       0.02017323       0.00000000
    -16.33816908       0.16232457      0.12181963       0.02025247       0.02025247       0.00000000
    -16.32316158       0.16233801      0.12167533       0.02033134       0.02033134       0.00000000
    -16.30815408       0.16235089      0.12153118       0.02040985       0.02040985       0.00000000
    -16.29314657       0.16236361      0.12138748       0.02048807       0.02048807       0.00000000
    -16.27813907       0.16237674      0.12124463       0.02056606       0.02056606       0.00000000
    -16.26313157       0.16239077      0.12110301       0.02064388       0.02064388       0.00000000
    -16.24812406       0.16240586      0.12096276       0.02072155       0.02072155       0.00000000
    -16.23311656       0.16242181      0.12082374       0.02079903       0.02079903       0.00000000
    -16.21810905       0.16243807      0.12068558       0.02087625       0.02087625       0.00000000
    -16.20310155       0.16245400      0.12054779       0.02095310       0.02095310       0.00000000
    -16.18809405       0.16246913      0.12041004       0.02102955       0.02102955       0.00000000
    -16.17308654       0.16248340      0.12027224       0.02110558       0.02110558       0.00000000
    -16.15807904       0.16249720      0.12013470       0.02118125       0.02118125       0.00000000
    -16.14307154       0.16251127      0.11999793       0.02125667       0.02125667       0.00000000
    -16.12806403       0.16252641      0.11986251       0.02133195       0.02133195       0.00000000
    -16.11305653       0.16254312      0.11972883       0.02140714       0.02140714       0.00000000
    -16.09804902       0.16256139      0.11959692       0.02148223       0.02148223       0.00000000
    -16.08304152       0.16258069      0.11946641       0.02155714       0.02155714       0.00000000
    -16.06803402       0.16260013      0.11933667       0.02163173       0.02163173       0.00000000
    -16.05302651       0.16261885      0.11920707       0.02170589       0.02170589       0.00000000
    -16.03801901       0.16263637      0.11907725       0.02177956       0.02177956       0.00000000
    -16.02301151       0.16265282      0.11894729       0.02185277       0.02185277       0.00000000
    -16.00800400       0.16266896      0.11881771       0.02192563       0.02192563       0.00000000
    -15.99299650       0.16268589      0.11868929       0.02199830       0.02199830       0.00000000
    -15.97798899       0.16270463      0.11856279       0.02207092       0.02207092       0.00000000
    -15.96298149       0.16272571      0.11843861       0.02214355       0.02214355       0.00000000
    -15.94797399       0.16274894      0.11831664       0.02221615       0.02221615       0.00000000
