# NDIV =     2000 dE=      0.01500750
#    energy (ev)           dos 
    -10.17008504       0.34974341
    -10.15507754       0.35015270
    -10.14007004       0.35050521
    -10.12506253       0.35076394
    -10.11005503       0.35091801
    -10.09504752       0.35099177
    -10.08004002       0.35104205
    -10.06503252       0.35114294
    -10.05002501       0.35136197
    -10.03501751       0.35173584
    -10.02001001       0.35225461
    -10.00500250       0.35286071
     -9.98999500       0.35346432
     -9.97498749       0.35397047
     -9.95997999       0.35430906
     -9.94497249       0.35445783
     -9.92996498       0.35445061
     -9.91495748       0.35436828
     -9.89994997       0.35431578
     -9.88494247       0.35439243
     -9.86993497       0.35466491
     -9.85492746       0.35515002
     -9.83991996       0.35581119
     -9.82491246       0.35656809
     -9.80990495       0.35731601
     -9.79489745       0.35794970
     -9.77988994       0.35838693
     -9.76488244       0.35858762
     -9.74987494       0.35856517
     -9.73486743       0.35838779
     -9.71985993       0.35816791
     -9.70485243       0.35804000
     -9.68984492       0.35812969
     -9.67483742       0.35852038
     -9.65982991       0.35922616
     -9.64482241       0.36017998
     -9.62981491       0.36124306
     -9.61480740       0.36223581
     -9.59979990       0.36298360
     -9.58479240       0.36336524
     -9.56978489       0.36335016
     -9.55477739       0.36301230
     -9.53976988       0.36251577
     -9.52476238       0.36207485
     -9.50975488       0.36189888
     -9.49474737       0.36213694
     -9.47973987       0.36283721
     -9.46473237       0.36393216
     -9.44972486       0.36525345
     -9.43471736       0.36657263
     -9.41970985       0.36765741
     -9.40470235       0.36832910
     -9.38969485       0.36850718
     -9.37468734       0.36823032
     -9.35967984       0.36764890
     -9.34467234       0.36699091
     -9.32966483       0.36650902
     -9.31465733       0.36642090
     -9.29964982       0.36685616
     -9.28464232       0.36782245
     -9.26963482       0.36919920
     -9.25462731       0.37076209
     -9.23961981       0.37223401
     -9.22461231       0.37335206
     -9.20960480       0.37393455
     -9.19459730       0.37393065
     -9.17958979       0.37343815
     -9.16458229       0.37268238
     -9.14957479       0.37195991
     -9.13456728       0.37156120
     -9.11955978       0.37169358
     -9.10455228       0.37242678
     -9.08954477       0.37367673
     -9.07453727       0.37523206
     -9.05952976       0.37681433
     -9.04452226       0.37815325
     -9.02951476       0.37905443
     -9.01450725       0.37944154
     -8.99949975       0.37936396
     -8.98449225       0.37897251
     -8.96948474       0.37847432
     -8.95447724       0.37808180
     -8.93946973       0.37796872
     -8.92446223       0.37824122
     -8.90945473       0.37892578
     -8.89444722       0.37997167
     -8.87943972       0.38126433
     -8.86443222       0.38264626
     -8.84942471       0.38394349
     -8.83441721       0.38499551
     -8.81940970       0.38568567
     -8.80440220       0.38596693
     -8.78939470       0.38587690
     -8.77438719       0.38553634
     -8.75937969       0.38512881
     -8.74437219       0.38486345
     -8.72936468       0.38492826
     -8.71435718       0.38544468
     -8.69934967       0.38643506
     -8.68434217       0.38781240
     -8.66933467       0.38939609
     -8.65432716       0.39095149
     -8.63931966       0.39224430
     -8.62431216       0.39309707
     -8.60930465       0.39343397
     -8.59429715       0.39330223
     -8.57928964       0.39286433
     -8.56428214       0.39236183
     -8.54927464       0.39205886
     -8.53426713       0.39217848
     -8.51925963       0.39284724
     -8.50425213       0.39406175
     -8.48924462       0.39568603
     -8.47423712       0.39748131
     -8.45922961       0.39916214
     -8.44422211       0.40046610
     -8.42921461       0.40122053
     -8.41420710       0.40138933
     -8.39919960       0.40108704
     -8.38419210       0.40055440
     -8.36918459       0.40009941
     -8.35417709       0.40001749
     -8.33916958       0.40051147
     -8.32416208       0.40163394
     -8.30915458       0.40326971
     -8.29414707       0.40516549
     -8.27913957       0.40699982
     -8.26413207       0.40847337
     -8.24912456       0.40939290
     -8.23411706       0.40972350
     -8.21910955       0.40959392
     -8.20410205       0.40925468
     -8.18909455       0.40900329
     -8.17408704       0.40910059
     -8.15907954       0.40970276
     -8.14407204       0.41082717
     -8.12906453       0.41235792
     -8.11405703       0.41408545
     -8.09904952       0.41576595
     -8.08404202       0.41718357
     -8.06903452       0.41820053
     -8.05402701       0.41878544
     -8.03901951       0.41901612
     -8.02401201       0.41905785
     -8.00900450       0.41912245
     -7.99399700       0.41941638
     -7.97898949       0.42008880
     -7.96398199       0.42119191
     -7.94897449       0.42266499
     -7.93396698       0.42434895
     -7.91895948       0.42603058
     -7.90395198       0.42750617
     -7.88894447       0.42864666
     -7.87393697       0.42944457
     -7.85892946       0.43002728
     -7.84392196       0.43063264
     -7.82891446       0.43155579
     -7.81390695       0.43308620
     -7.79889945       0.43545706
     -7.78389195       0.43882313
     -7.76888444       0.44327106
     -7.75387694       0.44885284
     -7.73886943       0.45562385
     -7.72386193       0.46366598
     -7.70885443       0.47308315
     -7.69384692       0.48396870
     -7.67883942       0.49635530
     -7.66383192       0.51016487
     -7.64882441       0.52517584
     -7.63381691       0.54101911
     -7.61880940       0.55720503
     -7.60380190       0.57317590
     -7.58879440       0.58837315
     -7.57378689       0.60230665
     -7.55877939       0.61461430
     -7.54377189       0.62510218
     -7.52876438       0.63375823
     -7.51375688       0.64073622
     -7.49874937       0.64631204
     -7.48374187       0.65082043
     -7.46873437       0.65458608
     -7.45372686       0.65786599
     -7.43871936       0.66081773
     -7.42371186       0.66350143
     -7.40870435       0.66591194
     -7.39369685       0.66802792
     -7.37868934       0.66985834
     -7.36368184       0.67146865
     -7.34867434       0.67297702
     -7.33366683       0.67452370
     -7.31865933       0.67622714
     -7.30365183       0.67814586
     -7.28864432       0.68026240
     -7.27363682       0.68249577
     -7.25862931       0.68473711
     -7.24362181       0.68689348
     -7.22861431       0.68892244
     -7.21360680       0.69084426
     -7.19859930       0.69272900
     -7.18359180       0.69466579
     -7.16858429       0.69672837
     -7.15357679       0.69895067
     -7.13856928       0.70132076
     -7.12356178       0.70379282
     -7.10855428       0.70630948
     -7.09354677       0.70882427
     -7.07853927       0.71131552
     -7.06353177       0.71378843
     -7.04852426       0.71626750
     -7.03351676       0.71878470
     -7.01850925       0.72136914
     -7.00350175       0.72404132
     -6.98849425       0.72681207
     -6.97348674       0.72968431
     -6.95847924       0.73265518
     -6.94347174       0.73571744
     -6.92846423       0.73886059
     -6.91345673       0.74207259
     -6.89844922       0.74534317
     -6.88344172       0.74866783
     -6.86843422       0.75205129
     -6.85342671       0.75550833
     -6.83841921       0.75906118
     -6.82341171       0.76273427
     -6.80840420       0.76654839
     -6.79339670       0.77051683
     -6.77838919       0.77464500
     -6.76338169       0.77893331
     -6.74837419       0.78338153
     -6.73336668       0.78799234
     -6.71835918       0.79277248
     -6.70335168       0.79773194
     -6.68834417       0.80288275
     -6.67333667       0.80823964
     -6.65832916       0.81382335
     -6.64332166       0.81966554
     -6.62831416       0.82581261
     -6.61330665       0.83232590
     -6.59829915       0.83927736
     -6.58329165       0.84674249
     -6.56828414       0.85479437
     -6.55327664       0.86350253
     -6.53826913       0.87293836
     -6.52326163       0.88318484
     -6.50825413       0.89434508
     -6.49324662       0.90654287
     -6.47823912       0.91990916
     -6.46323162       0.93455258
     -6.44822411       0.95051651
     -6.43321661       0.96772978
     -6.41820910       0.98596141
     -6.40320160       1.00479035
     -6.38819410       1.02360005
     -6.37318659       1.04160418
     -6.35817909       1.05790474
     -6.34317159       1.07157776
     -6.32816408       1.08177570
     -6.31315658       1.08783091
     -6.29814907       1.08934201
     -6.28314157       1.08622678
     -6.26813407       1.07873051
     -6.25312656       1.06738724
     -6.23811906       1.05294179
     -6.22311156       1.03624859
     -6.20810405       1.01816821
     -6.19309655       0.99948143
     -6.17808904       0.98083439
     -6.16308154       0.96271866
     -6.14807404       0.94548028
     -6.13306653       0.92934529
     -6.11805903       0.91444769
     -6.10305153       0.90084955
     -6.08804402       0.88855014
     -6.07303652       0.87748755
     -6.05802901       0.86754055
     -6.04302151       0.85853832
     -6.02801401       0.85028125
     -6.01300650       0.84257068
     -5.99799900       0.83524030
     -5.98299150       0.82818031
     -5.96798399       0.82134735
     -5.95297649       0.81475753
     -5.93796898       0.80846517
     -5.92296148       0.80253378
     -5.90795398       0.79700757
     -5.89294647       0.79189072
     -5.87793897       0.78713916
     -5.86293147       0.78266627
     -5.84792396       0.77836073
     -5.83291646       0.77411194
     -5.81790895       0.76983698
     -5.80290145       0.76550203
     -5.78789395       0.76113197
     -5.77288644       0.75680424
     -5.75787894       0.75262687
     -5.74287144       0.74870559
     -5.72786393       0.74510877
     -5.71285643       0.74184126
     -5.69784892       0.73883653
     -5.68284142       0.73597129
     -5.66783392       0.73309993
     -5.65282641       0.73009875
     -5.63781891       0.72690587
     -5.62281141       0.72354310
     -5.60780390       0.72011127
     -5.59279640       0.71675937
     -5.57778889       0.71363645
     -5.56278139       0.71084204
     -5.54777389       0.70839145
     -5.53276638       0.70620821
     -5.51775888       0.70414671
     -5.50275138       0.70203820
     -5.48774387       0.69974498
     -5.47273637       0.69720482
     -5.45772886       0.69445054
     -5.44272136       0.69159811
     -5.42771386       0.68880749
     -5.41270635       0.68622943
     -5.39769885       0.68395652
     -5.38269135       0.68199465
     -5.36768384       0.68026387
     -5.35267634       0.67862719
     -5.33766883       0.67693628
     -5.32266133       0.67507817
     -5.30765383       0.67300765
     -5.29264632       0.67075599
     -5.27763882       0.66841542
     -5.26263132       0.66610644
     -5.24762381       0.66394000
     -5.23261631       0.66198641
     -5.21760880       0.66025922
     -5.20260130       0.65871682
     -5.18759380       0.65727868
     -5.17258629       0.65584979
     -5.15757879       0.65434602
     -5.14257129       0.65271384
     -5.12756378       0.65094099
